"Id","Version","ParsedVersion","TargetFramework","PrevTFM","ChangedTFM"
"Microsoft.AspNetCore.Hosting.WindowsServices","2.0.0","2000000000000000000000000",".NETFramework4.6.1",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Hosting.WindowsServices","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETFramework4.6.1","true"
"Microsoft.AspNetCore.Hosting.WindowsServices","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Hosting.WindowsServices","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Hosting.Server.Abstractions","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Hosting.Server.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Hosting.Abstractions","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Hosting.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Hosting","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Hosting","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.HostFiltering","2.1.0","2000000010000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.HealthChecks","1.0.0","1000000000000000000000000",".NETCoreApp1.0","","true"
"Microsoft.AspNetCore.HeaderPropagation","3.0.0","3000000000000000000000000",".NETCoreApp3.0","","true"
"Microsoft.AspNetCore.HeaderPropagation","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.HeaderPropagation","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Diagnostics.HealthChecks","2.2.0","2000000020000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Diagnostics.Elm","0.1.0","10000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Diagnostics.Abstractions","1.0.0","1000000000000000000000000",".NETStandard1.0","","true"
"Microsoft.AspNetCore.Diagnostics.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETStandard1.0","true"
"Microsoft.AspNetCore.Diagnostics","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Diagnostics","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.DataProtection.SystemWeb","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.DataProtection.SystemWeb","2.0.0","2000000000000000000000000",".NETFramework4.6.1",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.DataProtection.StackExchangeRedis","2.2.0","2000000020000000000000000",".NETStandard2.0","","true"
